source,target,edge_type,edge_possibly_sensitive,source_stance,target_stance,account_id,account_type,Lang,stance,account_id_target,account_type_target,Lang_target,stance_target
407364224,338985020,retweet,False,Unknown,Unclear,,,,,338985020.0,Journalistic actors,fr,Unclear
845382763,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
42908508,474789922,retweet,False,Unknown,Unknown,,,,,,,,
144331494,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
21978721,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
2365969729,23102054,retweet,False,Unknown,Unknown,,,,,,,,
767036004,242555999,retweet,False,Unknown,Unknown,,,,,,,,
374776053,115099953,retweet,False,Unknown,Unclear,,,,,115099953.0,Political actors,en,Unclear
813127542,554088398,retweet,False,Unknown,Unknown,,,,,,,,
820204081,16544818,retweet,False,Unknown,Unclear,,,,,16544818.0,Advocacy actors,en,Unclear
1138389818,590565518,retweet,False,Unknown,Unknown,,,,,,,,
386424543,2977667168,retweet,False,Unknown,Unknown,,,,,,,,
149503569,55043362,retweet,False,Unknown,Unknown,,,,,,,,
525248382,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
1155279841,55043362,retweet,False,Unknown,Unknown,,,,,,,,
21032747,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
538437711,197332662,retweet,False,Unknown,Unknown,,,,,,,,
72262852,122418435,retweet,False,Unknown,Unknown,,,,,,,,
1739847991,4000439905,retweet,False,Unknown,Unknown,,,,,,,,
3034509881,2163521143,retweet,False,Unknown,Unknown,,,,,,,,
1588940017,506493498,retweet,False,Unknown,Unknown,,,,,,,,
118440676,122441438,retweet,False,Unknown,Unknown,,,,,,,,
3302198238,25765905,retweet,False,Unknown,Unknown,,,,,,,,
813127542,25081451,retweet,False,Unknown,Unknown,,,,,,,,
1753602062,117777690,retweet,False,Unknown,Unknown,,,,,,,,
50031913,38521731,retweet,False,Unknown,Unknown,,,,,,,,
16935593,52560766,retweet,False,Unknown,Unknown,,,,,,,,
118440676,1465126418,retweet,False,Unknown,Unknown,,,,,,,,
1109719458,197332662,retweet,False,Unknown,Unknown,,,,,,,,
24228703,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
106168942,2603969504,retweet,False,Unknown,Unknown,,,,,,,,
108091310,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
1421557908,301655015,retweet,False,Unknown,Unknown,,,,,,,,
566326691,50618984,retweet,False,Unknown,Unknown,,,,,,,,
3311741947,1198481,retweet,False,Unknown,Unknown,,,,,,,,
283669532,117777690,retweet,False,Unknown,Unknown,,,,,,,,
194623608,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
3048327174,28970958,retweet,False,Unknown,Unknown,,,,,,,,
3743652503,245845727,retweet,False,Unknown,Unknown,,,,,,,,
2759632497,100248020,retweet,False,Unknown,Unknown,,,,,,,,
95170812,440413534,retweet,False,Unknown,Unknown,,,,,,,,
2835698188,510592186,retweet,False,Unknown,Unknown,,,,,,,,
2222200111,224495471,retweet,False,Unknown,Unknown,,,,,,,,
3412285589,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
116080919,487118986,retweet,False,Unknown,Unknown,,,,,,,,
126183970,197332662,retweet,False,Unknown,Unknown,,,,,,,,
3236081320,122441438,retweet,False,Unknown,Unknown,,,,,,,,
442928435,17423473,retweet,False,Unknown,Unknown,,,,,,,,
3069843927,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
150996983,1514376354,retweet,False,Unknown,Unknown,,,,,,,,
58160823,319743492,retweet,False,Unknown,Unknown,,,,,,,,
3188554071,4105032803,retweet,False,Unknown,Unknown,,,,,,,,
928567394,202313343,retweet,False,Unknown,For,,,,,202313343.0,Advocacy actors,en,For
65466680,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
321864046,78586909,retweet,False,Unknown,Unknown,,,,,,,,
404751932,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
218975249,197332662,retweet,False,Unknown,Unknown,,,,,,,,
818283512,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
596394710,2892012597,retweet,False,Unknown,Unknown,,,,,,,,
108489815,1881177722,retweet,False,Unknown,Unknown,,,,,,,,
252987054,440413534,retweet,False,Unknown,Unknown,,,,,,,,
88563469,1198481,retweet,False,Unknown,Unknown,,,,,,,,
16784328,38521731,retweet,False,Unknown,Unknown,,,,,,,,
3760690158,197332662,retweet,False,Unknown,Unknown,,,,,,,,
2419947062,2374469136,retweet,False,Unknown,Unclear,,,,,2374469136.0,Private individuals,fr,Unclear
3732087792,197332662,retweet,False,Unknown,Unknown,,,,,,,,
2823771663,1051292552,retweet,False,Unknown,Unknown,,,,,,,,
13898012,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
2751484065,242555999,retweet,False,Unknown,Unknown,,,,,,,,
3255314898,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
2984904242,197332662,retweet,False,Unknown,Unknown,,,,,,,,
2805293183,197332662,retweet,False,Unknown,Unknown,,,,,,,,
511320049,197332662,retweet,False,Unknown,Unknown,,,,,,,,
2458410882,38521731,retweet,False,Unknown,Unknown,,,,,,,,
2258864336,424484966,retweet,False,Unknown,Unclear,,,,,424484966.0,Journalistic actors,en,Unclear
386424543,914018270,retweet,False,Unknown,Unknown,,,,,,,,
478864612,117777690,retweet,False,Unknown,Unknown,,,,,,,,
23592516,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
87957969,15088481,retweet,False,Unknown,For,,,,,15088481.0,Advocacy actors,en,For
60329525,1198481,retweet,False,Unknown,Unknown,,,,,,,,
636604377,122105725,retweet,False,Unknown,Unknown,,,,,,,,
130615473,117777690,retweet,False,Unknown,Unknown,,,,,,,,
198188968,338985020,retweet,False,Unknown,Unclear,,,,,338985020.0,Journalistic actors,fr,Unclear
250808443,21215544,retweet,False,Unknown,Unknown,,,,,,,,
312335223,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
3007388853,100248020,retweet,False,Unknown,Unknown,,,,,,,,
190543466,197332662,retweet,False,Unknown,Unknown,,,,,,,,
25678502,435704007,retweet,False,Unknown,Unknown,,,,,,,,
563513454,28690225,retweet,False,Unknown,Unknown,,,,,,,,
253319050,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
243862968,1198481,retweet,False,Unknown,Unknown,,,,,,,,
3135146420,28690225,retweet,False,Unknown,Unknown,,,,,,,,
171389053,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
87957969,245845727,retweet,False,Unknown,Unknown,,,,,,,,
976887366,25081451,retweet,False,Unknown,Unknown,,,,,,,,
143367064,35977487,retweet,False,Unknown,Unknown,,,,,,,,
187798733,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
1615357742,2254098355,retweet,False,Unknown,Unknown,,,,,,,,
2419947062,239976542,retweet,False,Unknown,Unknown,,,,,,,,
2776838534,197332662,retweet,False,Unknown,Unknown,,,,,,,,
961316023,117777690,retweet,False,Unknown,Unknown,,,,,,,,
3989967263,383435496,retweet,False,Unknown,Unknown,,,,,,,,
3611644514,197332662,retweet,False,Unknown,Unknown,,,,,,,,
287477903,790680,retweet,False,Unknown,Unknown,,,,,,,,
102228376,1198481,retweet,False,Unknown,Unknown,,,,,,,,
286632813,709628162,retweet,False,Unknown,Unknown,,,,,,,,
2203718292,197332662,retweet,False,Unknown,Unknown,,,,,,,,
457283933,139328853,retweet,False,Unknown,Unknown,,,,,,,,
338985020,100248020,retweet,False,Unclear,Unknown,338985020.0,Journalistic actors,fr,Unclear,,,,
153519477,197332662,retweet,False,Unknown,Unknown,,,,,,,,
792508033,999771618,retweet,False,Unknown,Unknown,,,,,,,,
1543513790,117777690,retweet,False,Unknown,Unknown,,,,,,,,
3044061648,197332662,retweet,False,Unknown,Unknown,,,,,,,,
2321595816,197332662,retweet,False,Unknown,Unknown,,,,,,,,
4280025800,197332662,retweet,False,Unknown,Unknown,,,,,,,,
753183830,117777690,retweet,False,Unknown,Unknown,,,,,,,,
341556578,197332662,retweet,False,Unknown,Unknown,,,,,,,,
37898439,26613480,retweet,False,Unknown,Unknown,,,,,,,,
1113348072,242555999,retweet,False,Unknown,Unknown,,,,,,,,
147842706,197332662,retweet,False,Unknown,Unknown,,,,,,,,
330878556,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
634520672,197332662,retweet,False,Unknown,Unknown,,,,,,,,
469803857,43780887,retweet,False,Unknown,Unknown,,,,,,,,
182982342,197332662,retweet,False,Unknown,Unknown,,,,,,,,
2834279598,197332662,retweet,False,Unknown,Unknown,,,,,,,,
1492423952,184385983,retweet,False,Unknown,Unknown,,,,,,,,
18657392,23638544,retweet,False,Unknown,For,,,,,23638544.0,Advocacy actors,en,For
481729421,197332662,retweet,False,Unknown,Unknown,,,,,,,,
2905476562,4105032803,retweet,False,Unknown,Unknown,,,,,,,,
1155623072,197332662,retweet,False,Unknown,Unknown,,,,,,,,
33643644,1198481,retweet,False,Unknown,Unknown,,,,,,,,
3091431887,1543524871,retweet,False,Unknown,Unknown,,,,,,,,
637196494,197332662,retweet,False,Unknown,Unknown,,,,,,,,
166131087,435704007,retweet,False,Unknown,Unknown,,,,,,,,
386424543,2444534352,retweet,False,Unknown,Unknown,,,,,,,,
1117043418,510592186,retweet,False,Unknown,Unknown,,,,,,,,
77133349,539189696,retweet,False,Unknown,Unknown,,,,,,,,
469803857,1230822594,retweet,False,Unknown,Unknown,,,,,,,,
334434165,15088481,retweet,False,Unknown,For,,,,,15088481.0,Advocacy actors,en,For
3484459287,620800046,retweet,False,Unknown,Unknown,,,,,,,,
792119786,242555999,retweet,False,Unknown,Unknown,,,,,,,,
2726885054,117777690,retweet,False,Unknown,Unknown,,,,,,,,
596394710,2892012597,retweet,False,Unknown,Unknown,,,,,,,,
1004339292,15631238,retweet,False,Unknown,Unknown,,,,,,,,
47899263,22986277,retweet,False,Unknown,Unknown,,,,,,,,
16494715,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
7919632,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
37752159,15088481,retweet,False,Unknown,For,,,,,15088481.0,Advocacy actors,en,For
240233997,380648579,retweet,False,Unknown,Unknown,,,,,,,,
132360976,122441438,retweet,False,Unknown,Unknown,,,,,,,,
110256138,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
596394710,2892012597,retweet,False,Unknown,Unknown,,,,,,,,
112219846,126006578,retweet,False,Unknown,Unknown,,,,,,,,
57297909,338985020,retweet,False,Unknown,Unclear,,,,,338985020.0,Journalistic actors,fr,Unclear
1680050581,28690225,retweet,False,Unknown,Unknown,,,,,,,,
166131087,435704007,retweet,False,Unknown,Unknown,,,,,,,,
840602797,435704007,retweet,False,Unknown,Unknown,,,,,,,,
731018712,60006673,retweet,True,Unknown,Unknown,,,,,,,,
15308733,11178672,retweet,False,Unknown,Unknown,,,,,,,,
619830925,1514376354,retweet,False,Unknown,Unknown,,,,,,,,
19756551,15088481,retweet,False,Unknown,For,,,,,15088481.0,Advocacy actors,en,For
164178673,28970958,retweet,False,Unknown,Unknown,,,,,,,,
142012778,301911229,retweet,False,Unknown,Unknown,,,,,,,,
14432325,117777690,retweet,False,Unknown,Unknown,,,,,,,,
91978453,229092117,retweet,False,Unknown,Unknown,,,,,,,,
565948336,590565518,retweet,False,Unknown,Unknown,,,,,,,,
33454508,122441438,retweet,False,Unknown,Unknown,,,,,,,,
311672209,12021062,retweet,False,Unknown,Unknown,,,,,,,,
21214977,21215544,retweet,False,Unknown,Unknown,,,,,,,,
248428726,117777690,retweet,False,Unknown,Unknown,,,,,,,,
3135704279,15088481,retweet,False,Unknown,For,,,,,15088481.0,Advocacy actors,en,For
466958869,553259396,retweet,False,Unknown,Unknown,,,,,,,,
178830272,2374469136,retweet,False,Unknown,Unclear,,,,,2374469136.0,Private individuals,fr,Unclear
628475111,229092117,retweet,False,Unknown,Unknown,,,,,,,,
425749852,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
398782492,138276327,retweet,False,Unknown,Unknown,,,,,,,,
610076827,510592186,retweet,False,Unknown,Unknown,,,,,,,,
3670131497,295651193,retweet,False,Unknown,Unknown,,,,,,,,
1022948376,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
531823117,1636590253,retweet,False,Unknown,Unknown,,,,,,,,
2818430124,2444534352,retweet,False,Unknown,Unknown,,,,,,,,
120602529,38146999,retweet,False,Unknown,For,,,,,38146999.0,Political actors,en,For
406546103,231432932,retweet,False,Unknown,Unknown,,,,,,,,
87804322,1972160365,retweet,False,Unknown,Unknown,,,,,,,,
2345346199,2830427282,retweet,False,Unknown,Unknown,,,,,,,,
2954253258,2830427282,retweet,False,Unknown,Unknown,,,,,,,,
2915711356,1881177722,retweet,False,Unknown,Unknown,,,,,,,,
3710709377,15692923,retweet,False,Unknown,For,,,,,15692923.0,Advocacy actors,en,For
39548000,116502194,retweet,False,Unknown,Unknown,,,,,,,,
2377420084,26883683,retweet,False,Unknown,Unknown,,,,,,,,
152020269,2361431216,retweet,False,Unknown,Unknown,,,,,,,,
