author_id	Type	Lang	Stance
256754327	Political actors	en	For
16958346	Advocacy actors	en	For
189145352	Advocacy actors	en	For
318677850	Advocacy actors	en	For
39961555	Advocacy actors	en	For
217478823	Advocacy actors	en	For
3017730064	Political actors	es	For
87420519	Advocacy actors	en	For
350250168	Advocacy actors	en	For
1006218078970175489	Advocacy actors	fr	For
375858149	Advocacy actors	fr	For
1324999118	Advocacy actors	en	For
1050695448237928449	Journalistic actors	es	For
934781545	Advocacy actors	es	Unclear
3219950389	Unclear	es	Unclear
619133125	Business actors	en	Unclear
707550615174565888	Unclear	N/A	Unclear
18396319	Journalistic actors	fr	Unclear
18248645	Journalistic actors	es	Unclear
1015435731949400065	Advocacy actors	en	For
1121017851492462592	Advocacy actors	en	Unclear
333992172	Advocacy actors	es	Unclear
61825915	Advocacy actors	en	Unclear
1042353234	Advocacy actors	es	For
882598932	Business actors	es	For
131612257	Journalistic actors	ca	Unclear
354678217	Advocacy actors	es	Unclear
1591198093	Business actors	en	Unclear
243546162	Advocacy actors	it	Unclear
964107452	Advocacy actors	en	For
422355017	Advocacy actors	en	
327325722	Advocacy actors	es	For
340286285	Advocacy actors	fr	For
484872080	Political actors	fr	Unclear
1301451587685097475	Business actors	en	Unclear
1285674087415795712	Advocacy actors	en	For
22318999	Journalistic actors	es	For
1200374272142848000	Advocacy actors	en	For
112990334	Unclear	es	For
1069539729320873984	Advocacy actors	en	For
339754094	Advocacy actors	en	For
790571598399021056	Political actors	fr	Unclear
19940791	Business actors	en	For
537041978	Business actors	fr	For
3061908309	Business actors	en	For
270437243	Private individuals	N/A	Unclear
89711639	Advocacy actors	en	For
15762575	Journalistic actors	en	Unclear
1829643775	Journalistic actors	fr	Unclear
7668952	Journalistic actors	es	Unclear
108645834	Advocacy actors	fr	Unclear
1565014145929515009	Political actors	en	Unclear
2617471956	Political actors	fr	Unclear
2931842704	Political actors	fr	Unclear
4010449719	Political actors	en	Unclear
717994058111655936	Political actors	en	Unclear
829709881041117185	Political actors	en	Unclear
805688517150081024	Political actors	en	Unclear
1069508984430886912	Unclear	en	Unclear
1195025771368239106	Political actors	en	Unclear
1498985846078377985	Political actors	en	Unclear
1580161874515181573	Political actors	en	Unclear
1428642457047162883	Political actors	en	For
3346529644	Scientific actors	en	Unclear
858718512	Advocacy actors	en	For
212172616	Business actors	en	
116332899	Journalistic actors	es	Unclear
87917306	Journalistic actors	es	Unclear
1499031979	Advocacy actors	es	For
146793462	Political actors	en	Unclear
1574190442710765568	Political actors	en	Unclear
3072230036	Business actors	en	For
104728023	Scientific actors	en	For
2256962239	Advocacy actors	fr	For
333315836	Business actors	en	Unclear
50317742	Advocacy actors	es	Unclear
883947126623006725	Advocacy actors	en	For
267708331	Advocacy actors	es	Unclear
344831740	Unclear	en	For
80338450	Advocacy actors	en	Unclear
1187071814	Private individuals	fr	Unclear
1153953918436745216	Private individuals	en	Unclear
906638953	Political actors	cy	Unclear
3475935613	Private individuals	en	Unclear
407938437	Private individuals	en	
4849821129	Political actors	en	Unclear
17895820	Journalistic actors	en	Unclear
35428478	Journalistic actors	en	Unclear
1189203597990469633	Political actors	en	Unclear
16593287	Private individuals	en	Unclear
1350343548	Business actors	en	
1437666302018166786	Advocacy actors	de	Unclear
95291408	Business actors	en	For
22024375	Advocacy actors	en	For
2790857133	Political actors	es	For
782854703235342336	Private individuals	fr	Unclear
854328081837940737	Business actors	en	For
3398724328	Scientific actors	en	For
2256295896	Business actors	en	Unclear
150316814	Business actors	fr	Unclear
12340052	Private individuals	fr	Unclear
3350251817	Scientific actors	en	For
15778112	Private individuals	fr	Unclear
78533960	Advocacy actors	en	For
1122931228108308480	Business actors	en	Unclear
254119833	Advocacy actors	en	For
16935292	Journalistic actors	en	Unclear
45205091	Business actors	en	Unclear
2620095853	Journalistic actors	en	For
50101725	Journalistic actors	en	Unclear
755071047095902208	Advocacy actors	en	For
562150479	Political actors	de	Unclear
128917051	Private individuals	en	For
63805938	Business actors	es	Unclear
3069699576	Unclear	N/A	Unclear
244013273	Journalistic actors	fr	Unclear
164426316	Political actors	es	Unclear
1164966410206007297	Political actors	es	Unclear
741643681703337984	Private individuals	en	Unclear
3024521000	Advocacy actors	en	Unclear
815626754765258753	Journalistic actors	ar	Unclear
2892185050	Advocacy actors	en	Unclear
482133423	Advocacy actors	en	For
983249724290621440	Advocacy actors	en	For
819555333727277056	Private individuals	en	Unclear
2348079512	Journalistic actors	pl	Unclear
179459971	Journalistic actors	en	Unclear
197352549	Journalistic actors	en	Unclear
391932594	Scientific actors	en	For
292756958	Advocacy actors	en	For
77732185	Political actors	en	Unclear
882330443080531968	Scientific actors	en	For
827474748217106432	Scientific actors	en	For
1284932010625114112	Unclear	N/A	Unclear
1880558749	Advocacy actors	en	For
910258370589843456	Scientific actors	en	Unclear
52205435	Business actors	en	For
717976163033845760	Private individuals	en	For
99674560	Business actors	en	Unclear
97589791	Political actors	en	For
966804380019240967	Business actors	en	Unclear
3230368347	Unclear	N/A	Unclear
2294239836	Advocacy actors	en	Unclear
1418485201999568899	Business actors	en	
547068273	Advocacy actors	es	For
769929494052409344	Unclear	N/A	Unclear
6027992	Journalistic actors	de	Unclear
6135622	Journalistic actors	es	Unclear
264200572	Journalistic actors	no	Unclear
150581612	Journalistic actors	id	Unclear
6134882	Journalistic actors	en	Unclear
61020403	Journalistic actors	de	Unclear
6135542	Journalistic actors	ar	Unclear
49979793	Journalistic actors	bn	Unclear
205193523	Advocacy actors	en	For
112935232	Advocacy actors	id	For
74903828	Journalistic actors	en	Unclear
131079801	Journalistic actors	en	Unclear
23643572	Advocacy actors	en	Unclear
1037258735582883840	Business actors	en	For
56392389	Political actors	en	Unclear
329666643	Political actors	en	Unclear
260795359	Journalistic actors	en	Unclear
29213506	Advocacy actors	en	For
2479789014	Advocacy actors	en	For
849333589485420549	Private individuals	es	For
709183815	Advocacy actors	en	For
36865698	Advocacy actors	fr	For
3366144436	Unclear	es	For
31887585	Advocacy actors	en	
24144885	Advocacy actors	es	
2570716842	Advocacy actors	en	For
1009899209930178560	Business actors	es	For
978176486	Advocacy actors	en	For
51806144	Scientific actors	es	For
3560045421	Journalistic actors	fr	Unclear
2976829445	Journalistic actors	es	
206815869	Advocacy actors	es	For
973219022417420290	Journalistic actors	es	For
78361556	Journalistic actors	en	For
324834917	Private individuals	en	Unclear
49622107	Advocacy actors	en	Unclear
3259529347	Scientific actors	en	For
737768120333504512	Business actors	en	For
481136592		en	
808018329877311488	Business actors	en	Unclear
105082141	Journalistic actors	es	Unclear
92631522	Journalistic actors	es	Unclear
110970770	Journalistic actors	es	For
4351567343	Advocacy actors	en	Unclear
2963731179	Political actors	en	Unclear
305587868	Journalistic actors	en	Unclear
1437584321540415489	Scientific actors	ar	Unclear
1051028606154153984	Scientific actors	ar	Unclear
1469270029090922506	Business actors	en	Unclear
1622616427	Business actors	en	Unclear
787300813	Advocacy actors	en	For
798812197312806913	Advocacy actors	en	For
1092858384141955072	Journalistic actors	es	For
465387913	Advocacy actors	es	Unclear
535707261	Journalistic actors	es	Unclear
1080209483668901891	Journalistic actors	en	For
1369039490271023104	Scientific actors	en	For
2338105459	Advocacy actors	fr	For
2315775492	Advocacy actors	en	For
482179923	Unclear	en	For
1207638939277955072	Advocacy actors	en	For
799570890916827136		en	
701304409205174272	Private individuals	id	Unclear
1358256865919070210	Private individuals	N/A	Unclear
208059524	Advocacy actors	fr	For
3232960847	Advocacy actors	de	For
3030714551	Business actors	es	Unclear
125534265	Advocacy actors	en	For
395539880	Advocacy actors	es	For
2784147198	Journalistic actors	es	For
334895511	Advocacy actors	fr	For
17751750	Business actors	en	Unclear
868048122513162240	Business actors	en	For
15585039	Advocacy actors	en	Unclear
3027831759	Scientific actors	en	For
36653615	Advocacy actors	en	For
31409367	Journalistic actors	en	Unclear
802150598548353025	Advocacy actors	en	For
18230846	Journalistic actors	en	For
968080993	Advocacy actors	pt	For
88697269	Business actors	en	For
1264361426	Business actors	es	Unclear
102448827	Political actors	fr	Unclear
4849494053	Political actors	en	Unclear
3350788870	Political actors	en	Unclear
102456961	Political actors	fr	Unclear
217310821	Advocacy actors	fr	For
1105836507380805632	Scientific actors	en	Unclear
923983353430335493	Advocacy actors	en	For
53347647	Political actors	en	Unclear
57322373	Advocacy actors	fr	For
